vivado
design,0,1,2,3,4
stereovision3.v,153.72734141349792,131.4686985015869,132.65758562088013,143.70531392097473,117.97558116912842
LU64PEEng_ram.v,262.95845651626587,262.86615347862244,261.49048495292664,258.18770480155945,261.37763261795044
ch_intrinsics.v,98.16089868545532,98.64836859703064,99.46366238594055,90.4748215675354,99.93370962142944
LU32PEEng_ram.v,188.95354557037354,186.88804817199707,193.750883102417,194.51726126670837,195.63799118995667
mkPktMerge.v,95.236243724823,97.2268500328064,91.283376455307,92.48957872390747,97.12938404083252
LU8PEEng_ram.v,139.55347657203674,137.57046151161194,136.18553400039673,143.10553622245789,147.07912683486938
or1200.v,127.6349744796753,127.30345964431763,125.5398497581482,128.69870495796204,123.96976637840271
spree.v,120.41377329826355,116.16944789886475,118.03355050086975,113.91345548629761,119.40441274642944
stereovision0.v,127.27297353744507,127.37199807167053,127.82139849662781,122.50570321083069,122.4070839881897
arm_core.v,226.88437843322754,225.34964752197266,222.44821906089783,220.90276789665222,220.59191036224365
mkDelayWorker32B.v,137.8893210887909,135.1817696094513,139.54970264434814,135.68999814987183,136.57272720336914
boundtop.v,118.48749160766602,122.69338989257812,124.40739440917969,117.12066054344177,124.96367025375366
bgm.v,148.21324944496155,149.244695186615,144.32868313789368,147.95240712165833,146.51546430587769
raygentop.v,111.00204300880432,109.53549480438232,110.00502300262451,107.03110384941101,109.45959568023682
multiclock_reader_writer.v,92.74039149284363,95.45124745368958,93.75698781013489,88.29419350624084,95.95041489601135
blob_merge.v,118.554119348526,116.48880577087402,118.15199398994446,114.41304993629456,121.30392694473267
stereovision1.v,220.97212982177734,216.9869532585144,212.8819100856781,220.26993918418884,217.48004508018494
mkSMAdapter4B.v,98.95482778549194,95.91981601715088,95.77624654769897,96.26440358161926,104.21797204017639
multiclock_output_and_latch.v,93.23867392539978,94.22768354415894,93.55190300941467,93.01669120788574,94.96454501152039
sha.v,122.31665682792664,113.5724401473999,114.98316025733948,111.6420328617096,113.58717083930969
stereovision2.v,177.23455476760864,177.3843982219696,175.8288836479187,171.73545598983765,177.50613641738892
yosys
design,0,1,2,3,4
stereovision3.v,11.471468687057495,13.869186878204346,14.395471572875977,16.455965280532837,14.899986267089844
LU64PEEng_ram.v,453.94378185272217,443.39241647720337,448.23087215423584,452.3487780094147,446.6567621231079
ch_intrinsics.v,12.119105815887451,12.327235698699951,12.127906799316406,14.739093780517578,12.435034275054932
LU32PEEng_ram.v,258.6706075668335,251.50198531150818,247.82342004776,257.0526556968689,248.53680300712585
mkPktMerge.v,9.765890836715698,13.109565734863281,13.485887289047241,14.924042463302612,9.498504638671875
LU8PEEng_ram.v,107.3413462638855,108.58942556381226,113.89629173278809,117.59106278419495,110.29303002357483
or1200.v,86.79536485671997,81.80978798866272,97.18448829650879,99.59210801124573,83.50195527076721
spree.v,37.39779806137085,34.92980337142944,39.537941694259644,33.19509744644165,24.03270959854126
stereovision0.v,242.0039827823639,246.9779510498047,244.22665905952454,236.76430869102478,247.96283197402954
arm_core.v,256.5001721382141,252.4639914035797,249.9185893535614,248.7655177116394,256.54898834228516
mkDelayWorker32B.v,614.7285921573639,617.566564321518,611.9113318920135,603.7913405895233,628.5866384506226
boundtop.v,40.679080963134766,38.32496213912964,42.062469244003296,39.576218366622925,41.993958950042725
bgm.v,412.5334153175354,428.48081612586975,414.1707046031952,409.2379298210144,411.21304750442505
raygentop.v,41.0241813659668,43.042648792266846,46.6866250038147,36.95547842979431,40.87411093711853
multiclock_reader_writer.v,6.42257833480835,6.806333303451538,7.294442176818848,7.55941367149353,6.506514310836792
blob_merge.v,163.12121605873108,166.5782072544098,175.0789496898651,167.2625036239624,174.50811409950256
stereovision1.v,295.39875531196594,296.9249942302704,273.691321849823,296.4774956703186,324.40077328681946
mkSMAdapter4B.v,15.24301815032959,14.421238660812378,16.0329167842865,12.028996467590332,12.420045852661133
multiclock_output_and_latch.v,5.089730739593506,6.477338790893555,5.315086126327515,4.814730405807495,5.108651638031006
sha.v,27.206555128097534,26.275874853134155,29.650947093963623,23.980937719345093,26.018571376800537
stereovision2.v,91.75123524665833,90.11827254295349,90.40679669380188,90.70021653175354,91.4999430179596
yosys-abc9
design,0,1,2,3,4
stereovision3.v,9.300695896148682,9.538734912872314,10.372821807861328,9.846155881881714,9.553982496261597
LU64PEEng_ram.v,381.2248811721802,380.2387390136719,381.67862462997437,373.2799632549286,373.1272497177124
ch_intrinsics.v,7.584714651107788,8.024412870407104,8.838948011398315,7.819751739501953,7.840259075164795
LU32PEEng_ram.v,196.62238669395447,198.88338470458984,198.17255997657776,195.38288068771362,197.8039743900299
mkPktMerge.v,9.595685482025146,8.858054399490356,9.298865795135498,9.771671772003174,9.459447622299194
LU8PEEng_ram.v,77.03612685203552,78.26658964157104,78.8082766532898,75.62420272827148,76.89434266090393
or1200.v,22.47598648071289,24.881588220596313,23.00691843032837,22.80504083633423,22.64052700996399
spree.v,13.402215242385864,13.400601863861084,13.382387399673462,13.49430513381958,13.59349012374878
stereovision0.v,78.99780130386353,80.7670476436615,83.34627151489258,77.79295825958252,78.29756689071655
arm_core.v,121.57180881500244,122.23677921295166,118.76616168022156,119.93065476417542,119.66373658180237
mkDelayWorker32B.v,31.96390676498413,32.24900221824646,31.793483018875122,31.441707134246826,31.67751908302307
boundtop.v,36.23736524581909,36.34101843833923,36.23223090171814,36.47916126251221,36.23081731796265
bgm.v,556.1257538795471,554.3714332580566,561.4202883243561,552.0228941440582,557.779176235199
raygentop.v,28.76047396659851,27.065953969955444,27.38821291923523,27.09446406364441,27.11917018890381
multiclock_reader_writer.v,6.622992038726807,6.882829189300537,6.621844291687012,6.605613946914673,6.805218696594238
blob_merge.v,64.87237405776978,64.7778480052948,66.63507151603699,64.82015943527222,64.8711576461792
stereovision1.v,66.64628148078918,61.59518790245056,63.82632493972778,61.04991579055786,60.80856442451477
mkSMAdapter4B.v,12.432421922683716,12.775444507598877,11.917479038238525,12.382715940475464,12.237070322036743
multiclock_output_and_latch.v,6.0702784061431885,6.648165464401245,6.739708662033081,6.564404487609863,6.358251571655273
sha.v,18.435369968414307,19.518559217453003,18.033949613571167,19.021916389465332,17.943460702896118
stereovision2.v,96.5240261554718,97.78081393241882,97.49167156219482,96.60303139686584,97.31637167930603
