vivado
design,0,1,2,3,4
stereovision3.v,166.2694010734558,125.35487604141235,158.68438935279846,98.48339939117432,187.5414969921112
LU64PEEng_ram.v,262.86544966697693,260.44383239746094,253.62495946884155,260.6946921348572,263.92676973342896
ch_intrinsics.v,97.06119132041931,94.90234732627869,98.6082751750946,98.22739887237549,95.16246223449707
LU32PEEng_ram.v,189.35256099700928,189.29020309448242,191.19732689857483,191.06463623046875,194.6997492313385
mkPktMerge.v,94.08876514434814,91.3146607875824,90.94838404655457,91.84214115142822,94.77516889572144
LU8PEEng_ram.v,133.72358393669128,140.63663363456726,138.5593855381012,135.58973169326782,137.04650712013245
or1200.v,124.11941480636597,123.25229072570801,123.2339723110199,123.57165336608887,124.97185611724854
spree.v,114.17843270301819,115.34835124015808,119.55298900604248,119.94667768478394,113.94396328926086
stereovision0.v,122.44692325592041,127.5534348487854,124.99833583831787,129.95463061332703,128.47019171714783
arm_core.v,222.79182505607605,227.680588722229,222.72611021995544,221.8100028038025,230.98325777053833
mkDelayWorker32B.v,134.35913586616516,136.4207639694214,136.23543572425842,139.4097445011139,135.7277388572693
boundtop.v,117.81095886230469,120.17249393463135,125.51718187332153,120.20539736747742,123.61168003082275
bgm.v,144.49283361434937,139.45489978790283,145.20484900474548,151.5160698890686,144.1537470817566
raygentop.v,106.59515571594238,106.73225235939026,107.79002451896667,111.52877235412598,108.98403716087341
multiclock_reader_writer.v,93.04799842834473,93.4976098537445,89.82896327972412,93.37857842445374,94.38912677764893
blob_merge.v,118.32148480415344,116.25183129310608,115.67804908752441,117.8543381690979,125.04526400566101
stereovision1.v,214.03716945648193,212.4497938156128,217.01556515693665,223.69331574440002,219.10652136802673
mkSMAdapter4B.v,98.94469666481018,97.40507650375366,100.10501337051392,98.63291478157043,97.51914167404175
multiclock_output_and_latch.v,91.69368553161621,91.02022695541382,93.19445395469666,96.89693212509155,96.2355272769928
sha.v,111.99638891220093,111.00098538398743,112.80042576789856,116.62781405448914,109.81776571273804
stereovision2.v,176.96998763084412,177.76682043075562,171.8417263031006,178.32783699035645,173.6620523929596
yosys
design,0,1,2,3,4
stereovision3.v,16.74085783958435,13.323179960250854,14.393611192703247,14.908901691436768,15.683683395385742
LU64PEEng_ram.v,470.62699007987976,446.4833438396454,448.37828946113586,474.6785092353821,447.374470949173
ch_intrinsics.v,11.47156548500061,8.747263193130493,12.07746934890747,11.59345006942749,9.147066831588745
LU32PEEng_ram.v,251.4543685913086,254.3278558254242,252.14954376220703,256.2121605873108,250.46379137039185
mkPktMerge.v,10.909263610839844,13.218054056167603,13.172691822052002,13.478747367858887,11.723767757415771
LU8PEEng_ram.v,110.92903637886047,115.20248532295227,111.12420129776001,113.3085515499115,109.46960473060608
or1200.v,81.77551460266113,87.55213475227356,84.65823888778687,84.27312850952148,85.11667799949646
spree.v,35.9511559009552,32.61152458190918,34.203434467315674,37.591583251953125,29.42159342765808
stereovision0.v,251.39098238945007,250.64281225204468,255.52319025993347,256.25500679016113,252.86191534996033
arm_core.v,256.80093574523926,255.48199653625488,267.27441787719727,259.26006627082825,258.26705145835876
mkDelayWorker32B.v,631.0891513824463,632.3420469760895,633.1174020767212,631.5701334476471,634.3230130672455
boundtop.v,39.82823967933655,36.94466757774353,39.34832310676575,40.86033391952515,37.81080102920532
bgm.v,419.6736710071564,414.1937642097473,415.37949323654175,411.81625962257385,417.23438024520874
raygentop.v,43.58508372306824,34.79760003089905,40.70779085159302,39.42325973510742,37.76585817337036
multiclock_reader_writer.v,7.852750062942505,5.548719167709351,7.064129829406738,7.311221599578857,5.634692192077637
blob_merge.v,180.17340922355652,172.50457048416138,173.4545612335205,175.48096632957458,174.81222581863403
stereovision1.v,312.09921884536743,309.3268551826477,310.8899304866791,309.2601327896118,308.53394961357117
mkSMAdapter4B.v,12.59874176979065,12.719523906707764,15.231290578842163,12.703794479370117,14.207608699798584
multiclock_output_and_latch.v,5.199778079986572,4.8100738525390625,4.863475799560547,5.24622917175293,5.1252453327178955
